county,RECREATIONAL_SUITABILITY_RESULT,f0_
Anoka,,1.8028900709219835
Anoka,1,1.9072997032640966
Anoka,2,1.4153206650831351
Anoka,3,1.0655405405405398
Anoka,4,0.913624535315985
Anoka,5,0.7671653543307086
Carver,,1.8411977030352755
Carver,1,2.958773584905662
Carver,2,2.0040447343895607
Carver,3,1.2322256728778465
Carver,4,0.6799474145486414
Carver,5,0.40789189189189207
Chisago,,1.6155172413793106
Chisago,1,1.7501086956521734
Chisago,2,1.7409386792452837
Chisago,3,1.4270389610389604
Chisago,4,1.0846279069767437
Chisago,5,0.5091333333333333
Dakota,,1.7317430555555566
Dakota,1,2.5736249999999967
Dakota,2,1.7694584717607973
Dakota,3,1.3754643902439054
Dakota,4,1.0588822039265364
Dakota,5,1.0196131386861316
Goodhue,,0.8333333333333334
Goodhue,1,0.9333333333333332
Goodhue,2,0.775
Goodhue,3,0.7550000000000001
Goodhue,4,0.675
Hennepin,,1.980815307820301
Hennepin,1,2.440812958435205
Hennepin,2,1.7566443452380938
Hennepin,3,1.1774589843749996
Hennepin,4,0.877847222222221
Hennepin,5,0.8536538461538465
Le Sueur,,
Le Sueur,4,0.19333333333333338
Ramsey,,1.8450000000000013
Ramsey,1,1.6319298245614033
Ramsey,2,1.73772932330827
Ramsey,3,1.574974358974359
Ramsey,4,1.2250746268656718
Ramsey,5,0.8153846153846155
Rice,,
Rice,3,0.3
Rice,4,0.3
Scott,,1.468528864059592
Scott,1,2.287205542725176
Scott,2,1.2345393258426967
Scott,3,0.9772588832487309
Scott,4,1.5319838056680157
Scott,5,1.3361111111111112
Washington,,2.5350130529369106
Washington,1,3.663631208791216
Washington,2,2.318227287635295
Washington,3,1.6538708871303665
Washington,4,0.9997701317716071
Washington,5,0.8141405228758167
